Referring Domain / URL,Target URL,Anchor Text,Action Recommendation,Primary Risk Factor,Confidence Score,Backlinks,Linking Pages,Unique Anchors,Top Anchor Share,Remediation Priority,Follow (Equity) Links,Exact-Match Anchor %,Branded/URL Anchor %,Median Page AScore,Max Page AScore,Avg External Links,Nofollow %,Sponsored,Topically Relevant,Distinct Targets,Lost %,First Seen,Last Seen,Rationale
weightlossandco.com,https://www.performancelab.com/collections/all-products,(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0.5,1,0,0%,no,yes,1,0%,1709893468,1787370183,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
healthsafetyinfo.com,https://www.performancelab.com/ (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1715616084,1787567330,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
medicalbudsonline.com,https://www.performancelab.com/products/vision,"the best eye health supplements in 2022, (+1 more)",KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,0,50%,50%,0,0,13,100%,no,yes,1,0%,1716152881,1780668388,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
theplantway.com,https://www.performancelab.com/collections/athletics (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,50%,1718951353,1778681943,"No outbound links of its own, 100% empty anchors, and 0% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
healthsupportcenter.org,https://www.performancelab.com/products/nutrigenesis-multi-men (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1720276673,1777554945,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
medtep.com,https://www.performancelab.com/collections/all-products,CLICK to view PERFORMANCE LAB MIND price and latest offers (+1 more),KEEP_AFFILIATE_RETAIN,None - Brand Mention / Citation,Medium,2,1,2,50%,-,2,0%,100%,0,0,9,0%,no,no,1,0%,1722645879,1776431100,100% branded or bare-URL anchors; reads as an unsolicited citation rather than a placed link.
healthtian.com,http://www.performancelab.com/ (+1 more),www.PerformanceLab.com (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,0,0%,50%,1,1,8,100%,no,yes,2,100%,1723423238,1778050108,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
travelclearly.com,https://www.performancelab.com/collections/all-products (+1 more),Nu:tropic,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,1,100%,-,0,0%,0%,0,0,18,100%,no,yes,2,0%,1724753732,1783192802,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
journeypeaks.com,https://www.performancelab.com/collections/all-products (+1 more),Nu:tropic,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,1,100%,-,0,0%,0%,0,0,18,100%,no,yes,2,0%,1725170917,1785780949,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
travelerschronicle.com,https://www.performancelab.com/collections/all-products (+1 more),Nu:tropic,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,1,100%,-,0,0%,0%,0,0,24,100%,no,yes,2,0%,1726347951,1777595281,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
manthanhub.com,https://www.performancelab.com/blogs/multi/can-you-take-magnesium-and-potassium-together?srsltid=AfmBOooeZ2l7OezkimzmvMkVUn__VfcPmYt5ghGfAPzDlMK8shjw1Sqp,3 (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,0,0%,0%,0,0,60,100%,no,yes,1,0%,1727351906,1770118592,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
scieron.com,https://uk.performancelab.com/collections/core-range/products/prebiotic#product-buyblock,Buy now (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,0,0%,50%,0,0,26,100%,no,yes,1,0%,1729074235,1787130913,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
dianabolofficial.com,https://www.performancelab.com/products/nutrigenesis-multi-men (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,1,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1730015516,1786419942,"No outbound links of its own, 100% empty anchors, and 50% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
primeformen.com,https://www.performancelab.com/blogs/fitness/workout-plateau-causes-and-tips-to-avoid-it (+1 more),https://www.performancelab.com/blogs/fitness/workout-plateau-causes-and-tips-to-avoid-it (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,0,0%,100%,0,0,30,100%,no,yes,2,0%,1730998477,1783192215,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
doctortrusted.org,https://www.performancelab.com/products/mind-lab-pro (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1731038034,1778114699,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
chiromed.org,https://www.performancelab.com/products/mind-lab-pro (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1731156522,1777930138,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
supplementnatural.com,https://www.performancelab.com/products/mind-lab-pro,(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,1,0%,1734931800,1780560532,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
supplementsaid.com,https://www.performancelab.com/products/mind-lab-pro (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,1,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1735251178,1786414974,"No outbound links of its own, 100% empty anchors, and 50% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
aconsciouscollection.com,https://au.performancelab.com/products/mind,Mind (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,50%,3,3,24,0%,no,yes,1,100%,1736636352,1777338287,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
sudonull.com,https://www.performancelab.com/,Performance Lab® Upgrade Yourself (+1 more),KEEP_AFFILIATE_RETAIN,None - Brand Mention / Citation,Medium,2,2,2,50%,-,0,0%,100%,0,0,21,100%,no,no,1,0%,1737477749,1783252387,100% branded or bare-URL anchors; reads as an unsolicited citation rather than a placed link.
amoresplendidlife.com,https://www.performancelab.com/products/sleep (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1737679660,1780711845,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
advancedliving.com,https://www.performancelab.com/pages/contact (+1 more),https://www.performancelab.com/pages/contact (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,1,0%,50%,1,2,12,50%,no,yes,2,0%,1737862059,1787068764,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
boostmusclegrowth.com,https://www.performancelab.com/products/sleep (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1738200260,1777688087,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
ampedstatus.org,https://www.performancelab.com/products/sleep (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1738401940,1777905485,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
howtolucid.com,https://www.performancelab.com/products/sleep (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1738884687,1786416097,"No outbound links of its own, 100% empty anchors, and 0% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
odsol.com,https://www.performancelab.com/,"Performance Labs, Inc.",KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,100%,0,0,25,0%,no,yes,1,0%,1738885262,1786440404,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
onlinehealthstore.org,https://www.performancelab.com/products/vision (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1739031070,1777899664,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
fitsmartyou.com,https://www.performancelab.com/products/prebiotic (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,100%,1739218991,1782868354,"No outbound links of its own, 100% empty anchors, and 0% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
truthalerts.com,https://www.performancelab.com/products/mind-lab-pro,(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,1,0%,1739380727,1780644506,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
gea.edu.ge,https://www.performancelab.com/blogs/%E2%80%A6,Get More Here!!,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,0,0%,0%,0,0,3,100%,no,yes,1,0%,1739476575,1784938797,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
meritagepress.com,https://www.performancelab.com/products/mind-lab-pro (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,1,1,100%,-,2,0%,0%,3,3,0,0%,no,yes,2,0%,1739957733,1777871903,"No outbound links of its own, 100% empty anchors, and 50% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
daroohome.com,https://www.performancelab.com/blogs/omega-3/how-much-omega-3-per-day-for-athletes,performancelab,KEEP_AFFILIATE_RETAIN,None - Brand Mention / Citation,Medium,2,2,1,100%,-,2,0%,100%,1,1,10,0%,no,no,1,50%,1739998101,1785912807,100% branded or bare-URL anchors; reads as an unsolicited citation rather than a placed link.
fruitsaladdaily.com,https://www.performancelab.com/blogs/nutrition/how-long-does-it-take-for-beetroot-juice-to-work?srsltid=AfmBOoou_UcdT9U_rFYvLekRrHr0VWuy0tKQHXG23PBgNhQW0kb1ZnAS (+1 more),https://www.performancelab.com/blogs/nutrition/how-long-does-it-take-for-beetroot-juice-to-work?srsltid=AfmBOoou_UcdT9U_rFYvLekRrHr0VWuy0tKQHXG23PBgNhQW0kb1ZnAS (+1 more),KEEP_AFFILIATE_RETAIN,None - Brand Mention / Citation,Medium,2,1,2,50%,-,2,0%,100%,0,0,31,0%,no,no,2,0%,1740755488,1783482541,100% branded or bare-URL anchors; reads as an unsolicited citation rather than a placed link.
seriouslifemagazine.com,https://www.performancelab.com/products/mind-lab-pro,(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,1,0%,1741027486,1786965959,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
streamseo.com,https://eu.performancelab.com/pages/associates,Join Performance Lab’s Affiliate Program (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,100%,1,1,29,0%,no,yes,1,0%,1742145025,1787600186,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
mybodyweightexercises.com,https://www.performancelab.com/blogs/pre/creatine-before-or-after-workout,Creatine - Benefits and Dosage Creatine - Benefits and Dosage (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,0%,0,0,16,0%,no,yes,1,0%,1742249754,1787409170,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
staaker.com,https://www.performancelab.com/?a_aid=64dc7ef848019&a_bid=a2ad38c1,Performance Lab® (+1 more),KEEP_AFFILIATE_RETAIN,None - Tracked Affiliate Partner,High,2,1,2,50%,-,1,0%,100%,1,1,58,50%,no,no,1,100%,1742340533,1783884195,"100% of destinations carry the programme's a_aid/a_bid parameters, so this is a tracked affiliate. Commercial anchors are expected of an affiliate and the brief protects the placement; no structural spam signature fired."
bostonsportsextra.com,https://www.performancelab.com/collections/sport-range/products/fat-burner,fat burner with all-natural ingredients that’s been lab-tested for quality,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,18,0%,no,yes,1,0%,1742428881,1786740816,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
peakandpick.com,https://www.performancelab.com/ (+1 more),Performance Lab (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,50%,0,0,4,0%,no,yes,2,0%,1743007887,1787127772,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
thenomadbrad.com,https://www.performancelab.com/pages/associates (+1 more),Performance Lab Affiliate Program (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,100%,0,0,3,0%,no,yes,2,0%,1743139453,1770964467,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
helpineedhelp.com,https://www.performancelab.com/?a_aid=603f9581b424c&a_bid=a2ad38c1,GenerationIron10 (+1 more),KEEP_AFFILIATE_RETAIN,None - Tracked Affiliate Partner,High,2,1,2,50%,-,0,0%,0%,0,0,3,100%,no,yes,1,0%,1743245798,1785278992,"100% of destinations carry the programme's a_aid/a_bid parameters, so this is a tracked affiliate. Commercial anchors are expected of an affiliate and the brief protects the placement; no structural spam signature fired."
organicavenue.com,https://www.performancelab.com/?a_aid=515846a2a5b0b&a_bid=a2ad38c1 (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,1,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1744303492,1787008685,"No outbound links of its own, 100% empty anchors, and 50% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
planetanews.com,https://www.performancelab.com/products/mind-lab-pro,(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,1,0%,1744400543,1777671453,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
supplementprograms.com,https://www.performancelab.com/ (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1745692520,1780293077,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
wellnessgroup.com.my,https://www.performancelab.com/blogs/news/immune-boosting-juices-top-8-juice-recipes-for-immunity?srsltid=AfmBOopERrWSxqLj6qrX8RPMwxYvOYEFgYKOXYu-8WXAEdZpsXHupg07,this resource,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,0,0%,0%,3,3,15,100%,no,yes,1,0%,1746854792,1780685190,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
wlghconferences.org,https://www.performancelab.com/collections/athletics (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1746931953,1779186161,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
myelin.org,https://www.performancelab.com/products/mind-lab-pro?a_aid=5f4e9bd7d388a&a_bid=a2ad38c1 (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,1,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1747642053,1786081250,"No outbound links of its own, 100% empty anchors, and 50% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
d3306cnzm6n89c.cloudfront.net,http://performancelab.com/,performancelab.com,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,100%,0,0,19,0%,no,yes,1,0%,1747707218,1786783679,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
alizyme.com,https://www.performancelab.com/products/omega-3 (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1747718885,1786302473,"No outbound links of its own, 100% empty anchors, and 0% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
supplementguides.com,https://www.performancelab.com/ (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1747815857,1786011997,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
postgradoune.edu.pe,http://www.performancelab.com/cdn/shop/articles/10_Effective_Tips_to_Prevent_Tossing_and_Turning_at_Night_1_054cdcda-2bd6-4cfc-877b-9cec2e956133.jpg?v=1718025522 (+1 more),10 Effective Tips to Prevent Tossing and Turning at Night Performance (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,2,0%,50%,1,1,11,0%,no,yes,2,0%,1748298488,1785489709,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
lc-plasma.com,https://www.performancelab.com/ (+1 more),PerformanceLab.com (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,2,0%,100%,0,0,12,0%,no,yes,2,0%,1748617924,1787451984,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
nozaki-sekizai.com,https://www.performancelab.com/blogs/pre/best-pre-and-post-workout-supplements-for-muscle-gain,Best Pre and Post Workout Supplements for Muscle Gain ...,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,100%,0%,0,0,64,0%,no,yes,1,0%,1749941859,1783491132,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
gearuptofit.com,https://www.performancelab.com/blogs/fat-loss/foods-with-high-thermic-effect (+1 more),highest thermic effect (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,2,0%,0%,0,0,10,0%,no,yes,2,0%,1750034210,1787386993,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
rheum4us.org,https://performancelab.com/products/flex (+1 more),Click For Best Price (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,1,0%,0%,0.5,1,12,50%,no,yes,2,0%,1750047607,1786830811,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
shirtsdoctors.com,https://www.performancelab.com/products/flex,Click Here for the Lowest Price on Performance Lab Flex (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,0,0%,100%,0,0,8,100%,no,yes,1,0%,1750289070,1787159346,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
survivalstrength.com,https://www.performancelab.com/products/mind-lab-pro (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Redirect / Tracking Host (Behavioural Match),High,2,1,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1750508866,1780550648,"No outbound links of its own, 100% empty anchors, and 50% of destinations carry the programme's affiliate parameters. This is link tracking, whatever the domain is called."
heavymetalstrengthcoaching.com,https://www.performancelab.com/blogs/fitness/the-dangers-of-overtraining,HERE.,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,4,0%,no,yes,1,50%,1750545526,1781977417,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
hallojs.org,https://uk.performancelab.com/products/flex (+1 more),Performance Lab Flex (+1 more),KEEP_AFFILIATE_RETAIN,None - Tracked Affiliate Partner,High,2,2,2,50%,-,2,0%,50%,0,0,6,0%,no,yes,2,0%,1750953618,1786041695,"50% of destinations carry the programme's a_aid/a_bid parameters, so this is a tracked affiliate. Commercial anchors are expected of an affiliate and the brief protects the placement; no structural spam signature fired."
kcpronutrients.com,https://www.performancelab.com/blogs/multi/how-long-does-it-take-for-magnesium-supplements-to-work#what-is-magnesium,https://www.performancelab.com/blogs/multi/how-long-does-it-take-f (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,50%,0,0,21,0%,no,yes,1,0%,1750965172,1780419604,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
basichealthbrands.com,https://www.performancelab.com/blogs/vision/vitamin-c-and-dry-eyes,Performance Labs,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,100%,2,4,21,0%,no,yes,1,0%,1751593552,1775432690,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
marketminute.com,https://www.performancelab.com/products/sleep,Performance Lab Sleep (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,0,0%,100%,0,0,9,100%,no,yes,1,0%,1752369244,1775522914,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
nutrilistico.de,https://www.performancelab.com/ (+1 more),https://www.performancelab.com (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,50%,0,0,24,0%,no,yes,2,0%,1753675046,1780468276,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
mouans-immobilier.com,https://www.performancelab.com/blogs/immune/glutathione-and-vitamin-c,Glutathione and Vitamin C: Why You Should Take Them Together,KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,9,0%,no,yes,1,0%,1753783997,1786402847,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
swimmersworld.co.uk,https://www.performancelab.com/blogs/nutrition/pros-and-cons-of-pre-workout-supplements,Modern pre-workout formulas (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,0%,0,0,39,0%,no,yes,1,0%,1754178821,1787300639,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
alianzaestrategica.edu.pe,https://www.performancelab.com/cdn/shop/articles/Webp.net-resizeimage_-_2022-03-24T104748.022.jpg?v=1648118886 (+1 more),Do Probiotics Cause Gas? Performance Lab® (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,2,0%,50%,0,0,11,0%,no,yes,2,0%,1754239221,1772654399,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
pullulan.net,https://www.performancelab.com/products/nutrigenesis-multi-women (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1755255504,1787617186,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
trimdownandshapeup.com,https://www.performancelab.com/blogs/fat-loss/magnesium-for-weight-loss?srsltid=AfmBOoo-0jP_5lfZrQ_LJdx_7ZeCsrIOy12Q6V65RQmqrjx2g_V_5y2y (+1 more),https://www.performancelab.com/blogs/fat-loss/magnesium-for-weight-loss?srsltid=AfmBOoo-0jP_5lfZrQ_LJdx_7ZeCsrIOy12Q6V65RQmqrjx2g_V_5y2y (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,100%,0,0,31,0%,no,yes,2,0%,1755833020,1777956069,Niche-aligned source with a natural anchor distribution (100% branded/URL anchors).
quik-news.com,https://uk.performancelab.com/products/d3k2,from £19 (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,1,2,50%,-,2,0%,50%,0,0,39,0%,no,yes,1,100%,1759557893,1783334887,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
dayofdifference.org.au,https://www.performancelab.com/blogs/nutrition/what-is-ug (+1 more),What is ug?: A Guide to Vitamin Measurements - Performance Lab® (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,0,50%,50%,0,0,10,100%,no,yes,2,0%,1759904356,1786345988,Niche-aligned source with a natural anchor distribution (50% branded/URL anchors).
newshealthwatch.com,https://www.performancelab.com/blogs/mct/mct-oil-before-bed (+1 more),Medium Chain Triglycerides (MCT) (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,1,0%,0%,0,0,38,50%,no,yes,2,0%,1760020449,1775197994,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
healthmassive.blog,https://www.performancelab.com/blogs/caffeine-2/caffeine-anhydrous (+1 more),Caffeine Anhydrous (+1 more),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,2,50%,-,2,0%,0%,0,0,6,0%,no,yes,2,100%,1760119777,1782798725,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
keepthebody.com,https://www.performancelab.com/blogs/fitness/beta-alanine-dosage-for-bodybuilding (+1 more),https://www.performancelab.com/blogs/fitness/beta-alanine-dosage-for-bodybuilding (+1 more),KEEP_AFFILIATE_RETAIN,None - Brand Mention / Citation,Medium,2,2,2,50%,-,2,0%,100%,0,0,15,0%,no,no,2,0%,1760596724,1786816400,100% branded or bare-URL anchors; reads as an unsolicited citation rather than a placed link.
newsdirected.com,https://www.performancelab.com/products/vision (+1 more),(empty/image),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,High,2,2,1,100%,-,2,0%,0%,0,0,0,0%,no,yes,2,0%,1760625805,1787257251,Niche-aligned source with a natural anchor distribution (0% branded/URL anchors).
